#{"t_start": 1646605465.747123, "env_id": null}
r,l,t
-40.91,39,13.423666
32.857585,75,31.653289
35.723127,94,52.260186
-32.42,62,65.648171
-32.56,76,83.66243
-32.73,64,98.457158
32.171296,46,108.83955
35.577039,56,121.631011
35.515504,71,138.033575
-35.53,116,164.840476
-40.59,46,175.59164
-34.97,30,182.486027
-32.4,45,191.655139
-37.6,59,204.744566
-32.22,28,211.073329
-35.27,51,221.999694
-39.04,56,234.228532
-40.1,58,247.424172
36.60567,30,253.847894
-38.11,58,266.663471
-40.0,44,277.351642
-34.77,43,287.138631
-30.0,68,301.565193
35.072797,38,310.44836
-32.15,62,325.416246
-32.02,63,340.543972
-33.0,48,351.464747
-35.59,68,367.510928
-35.22,57,380.144553
41.855019,26,386.424014
-37.5,83,405.608006
32.269841,60,419.687114
-36.93,40,427.323047
35.011778,84,446.047987
-32.56,73,460.908556
33.0,98,827.877199
-43.06,44,838.090984
37.187874,80,854.922972
35.431262,39,863.217053
-32.35,63,876.881345
-32.28,48,887.069601
-34.53,68,901.710673
-34.48,54,913.757971
32.43007,39,922.275535
-32.33,80,940.496649
32.747475,57,952.802721
32.794239,81,969.404464
-46.28,40,978.238167
-43.75,28,983.863855
-32.05,64,999.098171
-37.66,56,1011.154598
34.936047,41,1019.687732
-32.54,84,1038.114614
32.69163,87,1057.146611
32.619048,42,1066.321506
-32.64,62,1079.980225
37.666639,50,1090.735425
37.753484,29,1096.862178
-35.89,82,1114.667151
-34.18,68,1129.1394
35.013633,50,1140.400355
32.340278,50,1150.984294
32.102881,36,1158.874099
30.0,37,1166.608796
32.868613,57,1179.184608
-37.27,52,1190.65958
-32.67,55,1203.062146
38.369112,63,1217.193255
32.648276,53,1229.049196
-32.77,98,1249.256536
